cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
318,1000.0,1000.0,1750.0,675,1.0,1.0467656419480598,1.051580515833208,ATENÇÃO,OPENDSS
319,1000.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.0500481563068373,ATENÇÃO,OPENDSS
320,1500.0,500.0,0.0,675,1.0,1.0426313134570546,1.0463880218037478,BAIXO,OPENDSS
321,1500.0,500.0,250.0,675,1.0,1.0481216271804614,1.0517379587872069,ATENÇÃO,OPENDSS
322,1500.0,500.0,500.0,675,1.0,1.0465566010760377,1.0503381920500032,ATENÇÃO,OPENDSS
323,1500.0,500.0,750.0,675,1.0,1.0452702884617993,1.049111574197471,BAIXO,OPENDSS
324,1500.0,500.0,1000.0,675,1.0,1.0439870094004733,1.0478396749012937,BAIXO,OPENDSS
325,1500.0,500.0,1250.0,675,1.0,1.0491767244385408,1.0528072199628953,ATENÇÃO,OPENDSS
326,1500.0,500.0,1500.0,675,1.0,1.04793400185747,1.0515949471090527,ATENÇÃO,OPENDSS
327,1500.0,500.0,1750.0,675,1.0,1.0467656419480598,1.0504169941037111,ATENÇÃO,OPENDSS
328,1500.0,500.0,2000.0,675,1.0,1.0448693989505173,1.0487428938932333,BAIXO,OPENDSS
329,1500.0,700.0,0.0,675,1.0,1.0426313134570546,1.047848080086717,BAIXO,OPENDSS
330,1500.0,700.0,250.0,675,1.0,1.0481216271804614,1.053137846233291,ATENÇÃO,OPENDSS
331,1500.0,700.0,500.0,675,1.0,1.0465566010760377,1.0517730022177512,ATENÇÃO,OPENDSS
332,1500.0,700.0,750.0,675,1.0,1.0452702884617993,1.050573887142663,ATENÇÃO,OPENDSS
333,1500.0,700.0,1000.0,675,1.0,1.0439870094004733,1.0493619187782977,BAIXO,OPENDSS
334,1500.0,700.0,1250.0,675,1.0,1.0491767244385408,1.0542375938977178,ATENÇÃO,OPENDSS
335,1500.0,700.0,1500.0,675,1.0,1.04793400185747,1.053015117727759,ATENÇÃO,OPENDSS
336,1500.0,700.0,1750.0,675,1.0,1.0467656419480598,1.0518149934029264,ATENÇÃO,OPENDSS
337,1500.0,700.0,2000.0,675,1.0,1.0448693989505173,1.0502873829023402,ATENÇÃO,OPENDSS
338,1500.0,800.0,0.0,675,1.0,1.0426313134570546,1.0485673633137143,BAIXO,OPENDSS
339,1500.0,800.0,250.0,675,1.0,1.0481216271804614,1.0538300930067315,ATENÇÃO,OPENDSS
340,1500.0,800.0,500.0,675,1.0,1.0465566010760377,1.0524829436708538,ATENÇÃO,OPENDSS
341,1500.0,800.0,750.0,675,1.0,1.0452702884617993,1.0512856826654464,ATENÇÃO,OPENDSS
342,1500.0,800.0,1000.0,675,1.0,1.0439870094004733,1.0500967321282542,ATENÇÃO,OPENDSS
343,1500.0,800.0,1250.0,675,1.0,1.0491767244385408,1.0549498722145607,ATENÇÃO,OPENDSS
344,1500.0,800.0,1500.0,675,1.0,1.04793400185747,1.0537241310186685,ATENÇÃO,OPENDSS
345,1500.0,800.0,1750.0,675,1.0,1.0467656419480598,1.0525185553004759,ATENÇÃO,OPENDSS
